,algorithm,episode,map,peak_memory_usage(KB),time_usage(S)
0,GBFS,0,Map/R6.txt,306.285,6.029932737350464
1,GBFS,1,Map/R6.txt,271.473,7.4797680377960205
2,GBFS,2,Map/R6.txt,255.337,7.6149561405181885
3,GBFS,3,Map/R6.txt,254.273,7.708144187927246
4,GBFS,4,Map/R6.txt,253.745,7.81842827796936
5,GBFS,5,Map/R6.txt,268.593,7.788980007171631
6,GBFS,6,Map/R6.txt,254.273,7.745157957077026
7,GBFS,7,Map/R6.txt,253.745,7.691390037536621
8,GBFS,8,Map/R6.txt,253.217,7.78407096862793
9,GBFS,9,Map/R6.txt,253.361,7.7553019523620605
10,DFS,0,Map/R6.txt,242.18,1.816178798675537
11,DFS,1,Map/R6.txt,232.052,1.8185670375823975
12,DFS,2,Map/R6.txt,230.444,1.810297966003418
13,DFS,3,Map/R6.txt,229.908,1.8134970664978027
14,DFS,4,Map/R6.txt,229.908,1.8160059452056885
15,DFS,5,Map/R6.txt,229.908,1.8248977661132812
16,DFS,6,Map/R6.txt,229.908,1.8169140815734863
17,DFS,7,Map/R6.txt,229.908,1.8175528049468994
18,DFS,8,Map/R6.txt,229.908,1.8121380805969238
19,DFS,9,Map/R6.txt,229.908,1.8186838626861572
20,DLS,0,Map/R6.txt,295.182,16.417943239212036
21,DLS,1,Map/R6.txt,287.032,16.434261322021484
22,DLS,2,Map/R6.txt,285.4,16.426059007644653
23,DLS,3,Map/R6.txt,284.856,16.49462389945984
24,DLS,4,Map/R6.txt,284.856,16.47634983062744
25,DLS,5,Map/R6.txt,284.856,16.465358018875122
26,DLS,6,Map/R6.txt,284.856,16.482527017593384
27,DLS,7,Map/R6.txt,284.856,16.48048210144043
28,DLS,8,Map/R6.txt,284.856,16.493937253952026
29,DLS,9,Map/R6.txt,284.856,16.468476057052612
